action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,applicant_race_name_1,applicant_race_name_2,applicant_race_name_3,applicant_race_name_4,applicant_race_name_5,applicant_sex,applicant_sex_name,application_date_indicator,as_of_year,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,co_applicant_race_name_1,co_applicant_race_name_2,co_applicant_race_name_3,co_applicant_race_name_4,co_applicant_race_name_5,co_applicant_sex,co_applicant_sex_name,county_code,county_name,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_name_1,denial_reason_name_2,denial_reason_name_3,edit_status,edit_status_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,msamd,msamd_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,respondent_id,sequence_number,state_code,state_abbr,state_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,rate_spread,tract_to_msamd_income
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,125,5,,,,,White,,,,,2,Female,0,2016,0124.02,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,55,Monroe County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),13-6131491,0164595,36,NY,New York,68100,311,2083,2043,4.659999847412109,6135,,192.86000061035156
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,136,5,,,,,White,,,,,2,Female,0,2016,5903.00,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,77,Otsego County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000517900,0005506,36,NY,New York,58900,115,2328,1341,3.4000000953674316,4290,,94.5199966430664
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,136,5,,,,,White,,,,,1,Male,0,2016,1116.01,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,103,Suffolk County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,0000008116,0001880,36,NY,New York,106200,316,1434,1141,11.729999542236328,3990,,90.86000061035156
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,152,2,,,,,Asian,,,,,1,Male,0,2016,3028.00,2,Not Hispanic or Latino,2,,,,,Asian,,,,,2,Female,59,Nassau County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000451965,0136734,36,NY,New York,106200,680,2082,2016,40.0,6253,,120.33999633789062
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,94,5,,,,,White,,,,,1,Male,0,2016,0105.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,85,Richmond County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",11-3198028,0001023,36,NY,New York,72600,407,1841,1054,59.72999954223633,5153,,90.5
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,80,5,,,,,White,,,,,1,Male,0,2016,0117.07,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,55,Monroe County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",16-1566654,0001479,36,NY,New York,68100,183,2361,2118,7.789999961853027,6776,,155.4600067138672
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,4,Not applicable,188,7,,,,,Not applicable,,,,,4,Not applicable,2,2016,0283.00,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,81,Queens County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),13-3222578,0016339,36,NY,New York,72600,221,364,916,77.5199966430664,7415,,52.33000183105469
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,59,5,,,,,White,,,,,1,Male,0,2016,0840.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,115,Washington County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,24020,Glens Falls - NY,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),7197000003,0440850,36,NY,New York,64800,103,2572,1782,3.009999990463257,6669,,84.58999633789062
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,126,5,,,,,White,,,,,1,Male,0,2016,1240.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,103,Suffolk County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000060153,0001297,36,NY,New York,106200,273,1558,1187,12.350000381469727,4536,,104.04000091552734
4,Application withdrawn by applicant,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,128,3,5,,,,Black or African American,White,,,,1,Male,0,2016,0610.02,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,47,Kings County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,11-3073502,0003269,36,NY,New York,72600,486,177,917,3.640000104904175,4508,,108.11000061035156
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,41,5,,,,,White,,,,,2,Female,0,2016,0149.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,55,Monroe County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,95-4623407,0031132,36,NY,New York,68100,93,1814,1655,4.139999866485596,5093,,129.47999572753906
4,Application withdrawn by applicant,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,214,3,,,,,Black or African American,,,,,2,Female,0,2016,0039.00,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,119,Westchester County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,75-2921540,0135396,36,NY,New York,72600,417,1243,684,48.29999923706055,3449,,117.73999786376953
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,114,5,,,,,White,,,,,2,Female,0,2016,9506.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,111,Ulster County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,28740,Kingston - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000451965,0167088,36,NY,New York,75900,520,2010,1021,9.390000343322754,2876,,108.91000366210938
3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,180,5,,,,,White,,,,,1,Male,0,2016,1234.02,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,103,Suffolk County,3,,,Credit history,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000476810,0113552,36,NY,New York,106200,380,2248,1850,26.450000762939453,7366,,86.2300033569336
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,99,5,,,,,White,,,,,1,Male,0,2016,0133.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,71,Orange County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",20-2485875,0000751,36,NY,New York,72600,274,2760,1958,20.920000076293945,7160,,130.22999572753906
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,26,5,,,,,White,,,,,2,Female,0,2016,0520.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,69,Ontario County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),7197000003,0289503,36,NY,New York,68100,97,2885,1845,2.309999942779541,5025,,92.69000244140625
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,26,5,,,,,White,,,,,2,Female,0,2016,0203.02,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,117,Wayne County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),33-0941669,0009458,36,NY,New York,68100,76,1960,1738,5.21999979019165,5367,,106.41999816894531
1,Loan originated,5,NCUA,National Credit Union Administration,3,"Information not provided by applicant in mail, Internet, or telephone application",210,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,1,Male,0,2016,1114.02,3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,2,Female,103,Suffolk County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000004735,0005688,36,NY,New York,106200,340,1805,1639,19.18000030517578,4885,,100.62000274658203
4,Application withdrawn by applicant,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,161,2,,,,,Asian,,,,,1,Male,0,2016,3033.01,2,Not Hispanic or Latino,2,,,,,Asian,,,,,2,Female,59,Nassau County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000852218,0066527,36,NY,New York,106200,464,1094,1034,28.049999237060547,3166,,115.5
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,4,Not applicable,126,7,,,,,Not applicable,,,,,4,Not applicable,2,2016,0013.00,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,47,Kings County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),13-3222578,0032864,36,NY,New York,72600,490,17,734,40.91999816894531,2275,,196.19000244140625
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",131,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2016,0117.07,3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",55,Monroe County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),7197000003,0457121,36,NY,New York,68100,208,2361,2118,7.789999961853027,6776,,155.4600067138672
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,47,5,,,,,White,,,,,1,Male,0,2016,0627.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,81,Queens County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,75-2921540,0136581,36,NY,New York,72600,240,896,445,37.2400016784668,2879,,84.91000366210938
1,Loan originated,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,60,5,,,,,White,,,,,1,Male,0,2016,0019.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,109,Tompkins County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,27060,Ithaca - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000008531,0003124,36,NY,New York,69000,91,2525,1791,8.920000076293945,6099,,91.33999633789062
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,62,3,,,,,Black or African American,,,,,1,Male,2,2016,1591.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,103,Suffolk County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,2,FHA-insured,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),0000451965,0949982,36,NY,New York,106200,147,1708,1044,77.80000305175781,6037,,49.52000045776367
6,Loan purchased by the institution,7,HUD,Department of Housing and Urban Development,4,Not applicable,,7,,,,,Not applicable,,,,,4,Not applicable,2,2016,1142.02,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,47,Kings County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,2,FHA-insured,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),26-2049351,0148358,36,NY,New York,72600,445,386,174,97.72000122070312,2766,,57.25
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,59,5,,,,,White,,,,,1,Male,0,2016,0217.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,117,Wayne County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),7197000003,0497636,36,NY,New York,68100,103,1569,1154,6.619999885559082,3927,,72.56999969482422
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,90,5,,,,,White,,,,,1,Male,0,2016,9404.03,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,53,Madison County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,45060,Syracuse - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,26-4599244,0187667,36,NY,New York,69200,108,1888,1527,5.130000114440918,4949,,106.02999877929688
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,162,5,,,,,White,,,,,1,Male,0,2016,1584.02,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,103,Suffolk County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000008116,0000178,36,NY,New York,106200,190,1507,1354,7.880000114440918,4481,,122.4000015258789
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,131,5,,,,,White,,,,,1,Male,2,2016,4169.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,59,Nassau County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,35004,"Nassau County, Suffolk County - NY",2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000451965,0777641,36,NY,New York,106200,338,1795,1359,6.489999771118164,4116,,148.9499969482422
5,File closed for incompleteness,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,,5,,,,,White,,,,,1,Male,0,2016,0998.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,47,Kings County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,20-8921389,0008710,36,NY,New York,72600,549,1343,707,93.16000366210938,3784,,104.18000030517578
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,91,5,,,,,White,,,,,1,Male,0,2016,0512.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,69,Ontario County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,3,VA-guaranteed,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),7197000003,0227406,36,NY,New York,68100,205,1386,1041,6.329999923706055,3747,,98.69000244140625
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,102,2,,,,,Asian,,,,,1,Male,0,2016,0682.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,47,Kings County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,11-3019327,0000071,36,NY,New York,72600,522,907,773,76.80999755859375,2432,,140.3300018310547
